発生時刻,操作者,出目
2026/02/23 01:45:27,チンカス野郎,🎲 6
2026/02/23 01:45:37,チンカス野郎,🎲 3
2026/02/23 01:46:07,二戸建人,🎲 1
2026/02/23 01:46:35,二戸建人,🎲 2
2026/02/23 01:46:36,二戸建人,🎲 4
2026/02/23 01:46:37,二戸建人,🎲 4
2026/02/23 01:47:29,川村リュウタ,🎲 6
2026/02/23 02:04:19,チンカス野郎,🎲 5
2026/02/23 02:05:12,チンカス野郎,🎲 4
2026/02/23 02:07:57,チンカス野郎,🎲 5
2026/02/23 02:19:18,チンカス野郎,🎲 1
2026/02/23 02:21:48,チンカス野郎,🎲 5
2026/02/23 02:22:01,チンカス野郎,🎲 4
2026/02/23 02:22:10,チンカス野郎,🎲 2
2026/02/23 02:22:21,チンカス野郎,🎲 6
2026/02/23 02:22:26,チンカス野郎,🎲 3
2026/02/23 02:25:50,チンカス野郎,🎲 5
2026/02/23 02:26:00,チンカス野郎,🎲 5
2026/02/23 02:26:05,チンカス野郎,🎲 4
2026/02/23 02:26:10,チンカス野郎,🎲 5
2026/02/23 02:28:13,ッ,🎲 3
2026/02/23 02:28:18,ッ,🎲 2
2026/02/23 02:28:40,ッ,🎲 4
2026/02/23 02:29:14,ｃ,🎲 2
2026/02/23 02:29:18,ｃ,🎲 5
2026/02/23 02:29:40,ッ,🎲 6
2026/02/23 02:38:28,ｃ,🎲 1
2026/02/23 02:40:08,ｃ,🎲 1
2026/02/24 01:42:55,ッ,🎲 6
2026/02/24 01:46:07,ッ,🎲 6
2026/02/24 01:48:23,nito,🎲 5
